equipment_id,equipment_type,age,maintenance_count,cost,risk_impact,labor_hours,failure_probability
EQUIP_0164,capacitor_bank,35,4,5625,2.2,4,0.948
EQUIP_0165,transformer,16,5,12602,3.11,13,0.872
EQUIP_0166,electric_pole,11,2,2659,1.33,7,0.433
EQUIP_0167,circuit_breaker,4,1,7491,2.26,13,0.597
EQUIP_0168,electric_pole,7,2,2055,1.63,7,0.359
EQUIP_0169,capacitor_bank,17,2,3940,2.12,5,0.564
EQUIP_0170,insulator,20,3,1501,1.23,2,0.633
EQUIP_0171,transformer,5,1,7788,2.75,14,0.726
EQUIP_0172,electric_pole,10,0,2082,1.36,5,0.477
EQUIP_0173,capacitor_bank,7,0,3314,1.31,5,0.429
EQUIP_0174,transformer,12,0,11756,3.48,14,0.856
EQUIP_0175,fuse_cutout,20,1,1901,1.14,3,0.641
EQUIP_0176,insulator,5,3,1272,0.87,1,0.257
EQUIP_0177,insulator,5,2,991,0.9,1,0.309
EQUIP_0178,transformer,17,5,11179,3.53,16,1
EQUIP_0179,insulator,14,3,1266,1.74,1,0.525
EQUIP_0180,circuit_breaker,11,2,7267,2.53,12,0.718
EQUIP_0181,insulator,27,5,1366,1.59,1,0.781
EQUIP_0182,transformer,8,4,8443,3.12,15,0.72
EQUIP_0183,electric_pole,9,3,2702,1.03,6,0.401
EQUIP_0184,electric_pole,25,3,2825,2.18,6,0.704
EQUIP_0185,transformer,14,1,8824,3.09,17,0.89
EQUIP_0186,switchgear,28,2,7982,2.57,11,0.928
EQUIP_0187,transformer,12,0,10088,3.59,16,0.812
EQUIP_0188,switchgear,3,1,5514,2.24,11,0.501
EQUIP_0189,fuse_cutout,3,2,1600,0.98,2,0.324
EQUIP_0190,switchgear,5,0,6573,2.09,11,0.581
EQUIP_0191,insulator,9,2,1130,1.08,1,0.325
EQUIP_0192,circuit_breaker,10,5,6870,2.62,12,0.711
EQUIP_0193,insulator,32,9,1420,1.87,2,0.856
EQUIP_0194,electric_pole,5,0,2107,0.96,5,0.438
EQUIP_0195,electric_pole,14,0,2811,1.59,4,0.502
EQUIP_0196,circuit_breaker,14,3,6768,3.06,11,0.673
EQUIP_0197,circuit_breaker,7,2,8197,2.32,8,0.571
EQUIP_0198,switchgear,12,0,7122,2.32,10,0.679
EQUIP_0199,insulator,20,1,1678,1.64,2,0.636
EQUIP_0200,transformer,11,1,9366,3.45,13,0.844
EQUIP_0201,electric_pole,7,2,2695,1.39,5,0.38
EQUIP_0202,circuit_breaker,9,1,8109,2.65,10,0.676
EQUIP_0203,capacitor_bank,16,0,3507,1.83,5,0.65
EQUIP_0204,capacitor_bank,5,1,2949,1.47,4,0.464
EQUIP_0205,capacitor_bank,4,1,2765,1.7,3,0.339
EQUIP_0206,fuse_cutout,14,5,2250,1.61,2,0.527
EQUIP_0207,transformer,5,2,10433,2.8,17,0.578
EQUIP_0208,switchgear,13,2,5366,2.47,12,0.681
EQUIP_0209,transformer,12,3,9752,3.07,14,0.815
EQUIP_0210,transformer,20,6,10728,3.84,12,1
EQUIP_0211,switchgear,24,4,6250,2.61,8,0.804
EQUIP_0212,capacitor_bank,6,0,3662,1.95,3,0.48
EQUIP_0213,circuit_breaker,2,0,7428,2.25,8,0.574
EQUIP_0214,circuit_breaker,24,8,9046,3.36,12,0.944
EQUIP_0215,insulator,3,0,1053,1.27,1,0.261
EQUIP_0216,fuse_cutout,14,4,2289,1.37,3,0.511
EQUIP_0217,fuse_cutout,3,0,1570,1.39,3,0.206
EQUIP_0218,circuit_breaker,12,5,7316,2.85,14,0.803
EQUIP_0219,electric_pole,9,2,1990,1.53,5,0.447
EQUIP_0220,capacitor_bank,11,0,3839,2.16,4,0.439
EQUIP_0221,switchgear,3,2,6050,2.29,8,0.448
EQUIP_0222,transformer,1,0,6557,2.91,20,0.638
EQUIP_0223,circuit_breaker,6,0,6036,2.57,14,0.62
EQUIP_0224,transformer,21,7,12071,3.32,13,0.94
EQUIP_0225,insulator,11,1,1085,1.22,2,0.323
EQUIP_0226,electric_pole,24,7,2588,1.67,7,0.653
EQUIP_0227,electric_pole,2,0,1743,1.51,4,0.325
EQUIP_0228,circuit_breaker,31,6,9184,3.45,9,1
EQUIP_0229,fuse_cutout,7,2,1821,1.37,3,0.254
EQUIP_0230,capacitor_bank,9,2,3144,1.93,5,0.434
EQUIP_0231,transformer,8,1,8421,3.3,15,0.784
EQUIP_0232,fuse_cutout,11,4,1986,1.24,3,0.433
EQUIP_0233,fuse_cutout,9,1,1527,0.92,3,0.345
EQUIP_0234,transformer,16,1,11751,3.1,18,0.751
EQUIP_0235,transformer,8,3,9297,3.37,19,0.785
EQUIP_0236,switchgear,6,2,6308,2.15,7,0.505
EQUIP_0237,capacitor_bank,10,0,3850,1.39,5,0.45
EQUIP_0238,switchgear,4,1,5088,1.77,9,0.515
EQUIP_0239,capacitor_bank,8,3,3366,1.9,3,0.412
EQUIP_0240,circuit_breaker,5,0,6726,3.01,12,0.587
EQUIP_0241,circuit_breaker,3,0,5610,2.56,10,0.607
EQUIP_0242,capacitor_bank,6,0,3266,1.81,4,0.437
EQUIP_0243,switchgear,2,0,5566,2.22,10,0.384
EQUIP_0244,electric_pole,2,1,2306,1.35,5,0.231
EQUIP_0245,insulator,9,3,1032,1.36,2,0.337
EQUIP_0246,switchgear,8,3,5908,2.34,11,0.575
EQUIP_0247,insulator,10,1,1078,0.9,1,0.434
EQUIP_0248,switchgear,26,6,9082,2.48,11,0.863
EQUIP_0249,transformer,8,3,9110,3.3,13,0.73
EQUIP_0250,electric_pole,19,5,2726,1.3,4,0.596
EQUIP_0251,transformer,4,0,7466,2.76,12,0.72
EQUIP_0252,insulator,8,3,1272,0.86,2,0.348
EQUIP_0253,insulator,14,4,1225,1.39,2,0.498
EQUIP_0254,circuit_breaker,10,0,6612,2.72,11,0.596
EQUIP_0255,capacitor_bank,21,6,4656,2.33,3,0.776
EQUIP_0256,circuit_breaker,28,6,9093,3.23,13,1
EQUIP_0257,fuse_cutout,4,1,1908,1.26,2,0.275
EQUIP_0258,circuit_breaker,13,7,6719,3,14,0.739
EQUIP_0259,capacitor_bank,7,2,3818,1.64,4,0.4
EQUIP_0260,capacitor_bank,16,6,4660,1.53,4,0.616
EQUIP_0261,switchgear,7,2,6175,1.78,8,0.53
EQUIP_0262,electric_pole,22,5,2542,1.92,5,0.651
EQUIP_0263,electric_pole,11,5,2104,1.45,6,0.418
EQUIP_0264,switchgear,4,2,5582,1.81,9,0.494
EQUIP_0265,fuse_cutout,14,3,1742,1.1,3,0.503
EQUIP_0266,capacitor_bank,2,2,3429,1.27,4,0.366
EQUIP_0267,insulator,7,1,1321,1.49,1,0.357
EQUIP_0268,switchgear,5,0,6514,2.44,12,0.441
EQUIP_0269,capacitor_bank,1,0,3383,1.62,5,0.374
EQUIP_0270,insulator,15,3,1350,1.72,2,0.518
EQUIP_0271,switchgear,1,0,5997,2.03,12,0.274
EQUIP_0272,insulator,13,2,1359,1.44,1,0.48
EQUIP_0273,electric_pole,8,0,2492,1.02,4,0.512
EQUIP_0274,fuse_cutout,11,2,1883,1.1,3,0.508
EQUIP_0275,switchgear,20,7,7664,2.33,11,0.777
EQUIP_0276,switchgear,9,3,5540,2.17,9,0.616
EQUIP_0277,insulator,15,2,1092,1.11,1,0.491
EQUIP_0278,switchgear,9,0,6670,2.12,9,0.623
EQUIP_0279,capacitor_bank,18,3,4014,1.8,5,0.795
EQUIP_0280,circuit_breaker,10,3,5889,2.45,12,0.701
EQUIP_0281,insulator,14,3,1414,1.05,1,0.575
EQUIP_0282,circuit_breaker,18,2,9317,2.68,14,0.856
EQUIP_0283,switchgear,15,3,7274,2.27,7,0.759
EQUIP_0284,fuse_cutout,11,4,1739,1.06,2,0.337
EQUIP_0285,transformer,7,0,8359,2.94,13,0.737
EQUIP_0286,transformer,12,4,9823,3.44,18,0.916
EQUIP_0287,fuse_cutout,3,1,1670,0.9,3,0.292
EQUIP_0288,transformer,9,2,9858,2.98,11,0.77
EQUIP_0289,fuse_cutout,14,3,1550,1.61,3,0.444
EQUIP_0290,switchgear,21,4,7439,2.6,10,0.77
EQUIP_0291,capacitor_bank,7,4,3201,1.34,4,0.399
EQUIP_0292,transformer,4,0,7231,2.83,16,0.622
EQUIP_0293,fuse_cutout,8,3,1794,1.52,3,0.313
EQUIP_0294,circuit_breaker,15,1,7612,3.06,15,0.765
EQUIP_0295,insulator,19,4,1343,1.21,1,0.626
EQUIP_0296,electric_pole,9,3,2196,1.03,7,0.43
EQUIP_0297,insulator,8,0,1199,0.98,2,0.395
EQUIP_0298,switchgear,21,7,6666,2.17,7,0.824
EQUIP_0299,electric_pole,9,1,2733,1.66,4,0.38
EQUIP_0300,transformer,6,2,8533,3.4,19,0.68
EQUIP_0301,insulator,1,1,917,1.15,2,0.182
EQUIP_0302,electric_pole,18,4,2561,1.69,5,0.62
EQUIP_0303,insulator,8,1,1028,1.03,2,0.342
EQUIP_0304,electric_pole,18,3,3086,1.29,5,0.524
EQUIP_0305,switchgear,5,1,6365,2.25,7,0.496
EQUIP_0306,circuit_breaker,9,1,7214,2.54,14,0.697
EQUIP_0307,fuse_cutout,9,4,1970,1.04,3,0.401
EQUIP_0308,switchgear,1,0,5889,1.96,9,0.429
EQUIP_0309,fuse_cutout,6,2,1501,0.77,3,0.309
EQUIP_0310,insulator,6,0,1311,0.92,1,0.285
EQUIP_0311,fuse_cutout,26,6,1870,1.59,3,0.795
EQUIP_0312,transformer,10,0,8422,2.89,17,0.75
EQUIP_0313,capacitor_bank,5,0,3160,1.65,3,0.367
EQUIP_0314,circuit_breaker,9,2,6019,2.46,14,0.591
EQUIP_0315,circuit_breaker,22,4,9235,3.31,13,0.979
EQUIP_0316,electric_pole,7,1,2229,1.38,4,0.357
EQUIP_0317,switchgear,5,1,5340,1.99,10,0.536
EQUIP_0318,capacitor_bank,11,0,3811,1.79,4,0.477
EQUIP_0319,transformer,12,0,9078,2.97,20,0.874
EQUIP_0320,transformer,13,2,8245,3.51,14,0.895
EQUIP_0321,circuit_breaker,1,0,6870,2.8,11,0.554
EQUIP_0322,electric_pole,13,0,2913,1.59,6,0.437
EQUIP_0323,insulator,1,0,1107,0.86,2,0.25
EQUIP_0324,transformer,10,2,11229,3.11,12,0.855
EQUIP_0325,fuse_cutout,23,3,2321,1.26,2,0.704
EQUIP_0326,fuse_cutout,20,9,2007,1.48,2,0.609
EQUIP_0327,switchgear,6,1,5547,2,9,0.534
EQUIP_0328,switchgear,13,3,7546,2,11,0.72
EQUIP_0329,insulator,27,4,1565,1.34,1,0.75
EQUIP_0330,fuse_cutout,5,1,1583,1.2,3,0.292
EQUIP_0331,electric_pole,17,4,3120,1.24,5,0.529
EQUIP_0332,capacitor_bank,17,4,3771,2.18,4,0.665
EQUIP_0333,transformer,3,0,7987,3,12,0.649
EQUIP_0334,circuit_breaker,20,4,7326,2.81,12,1
EQUIP_0335,circuit_breaker,3,0,6956,2.34,8,0.668
EQUIP_0336,transformer,19,4,12712,3.52,19,0.954
EQUIP_0337,fuse_cutout,5,2,1634,1.23,3,0.265
EQUIP_0338,fuse_cutout,20,4,2431,1.22,3,0.519
EQUIP_0339,capacitor_bank,7,1,3556,2,4,0.425
EQUIP_0340,switchgear,6,1,4968,2.5,9,0.507
EQUIP_0341,fuse_cutout,27,3,2553,1.69,2,0.765
EQUIP_0342,fuse_cutout,26,8,2256,1.26,2,0.773
EQUIP_0343,switchgear,13,0,5506,2.36,10,0.636
EQUIP_0344,transformer,12,0,10676,3.48,11,0.896
EQUIP_0345,capacitor_bank,27,5,4315,1.92,3,0.846
EQUIP_0346,fuse_cutout,15,5,1778,1.25,3,0.489
EQUIP_0347,switchgear,23,4,6408,2.82,8,0.821
EQUIP_0348,electric_pole,22,5,2760,1.46,4,0.701
EQUIP_0349,fuse_cutout,1,0,1409,1.21,3,0.253
EQUIP_0350,circuit_breaker,11,2,5929,2.66,14,0.658
EQUIP_0351,electric_pole,3,0,2131,0.98,5,0.329
EQUIP_0352,electric_pole,17,3,2770,1.98,4,0.586
EQUIP_0353,switchgear,3,1,5288,1.77,10,0.511
EQUIP_0354,fuse_cutout,2,0,1415,0.81,2,0.25
EQUIP_0355,circuit_breaker,28,6,8837,3.28,11,1
EQUIP_0356,circuit_breaker,15,7,6960,3.19,10,0.85
EQUIP_0357,switchgear,13,0,6330,2.47,12,0.721
EQUIP_0358,insulator,9,3,1261,1.41,2,0.345
EQUIP_0359,circuit_breaker,3,0,6706,2.49,8,0.601
EQUIP_0360,transformer,9,2,8832,2.87,15,0.793
EQUIP_0361,switchgear,9,4,6349,2.58,11,0.58
EQUIP_0362,switchgear,1,1,6022,1.89,10,0.384
EQUIP_0363,capacitor_bank,19,3,4369,1.82,6,0.707
EQUIP_0364,transformer,16,4,11991,3.54,17,1
EQUIP_0365,fuse_cutout,10,1,1491,1.13,3,0.438
EQUIP_0366,capacitor_bank,3,0,2557,1.61,6,0.324
EQUIP_0367,capacitor_bank,20,1,3564,1.93,3,0.67
EQUIP_0368,insulator,1,0,895,1.28,2,0.307
EQUIP_0369,transformer,10,3,8676,2.85,14,0.76
EQUIP_0370,circuit_breaker,23,1,9544,3.42,11,0.994
EQUIP_0371,electric_pole,1,0,1722,0.85,7,0.323
EQUIP_0372,insulator,5,2,1115,0.76,2,0.328
EQUIP_0373,circuit_breaker,20,3,8075,2.79,14,0.95
EQUIP_0374,capacitor_bank,12,0,3309,1.69,4,0.548
EQUIP_0375,switchgear,7,1,5238,2.01,8,0.563
EQUIP_0376,capacitor_bank,10,1,4125,1.44,4,0.44
EQUIP_0377,transformer,15,0,10449,3.59,20,0.892
EQUIP_0378,fuse_cutout,13,2,2139,1.45,2,0.539
EQUIP_0379,transformer,17,1,9750,3.79,20,0.921
EQUIP_0380,insulator,8,3,1149,1.41,2,0.327
EQUIP_0381,insulator,15,3,1350,1.63,1,0.486
EQUIP_0382,fuse_cutout,6,2,1473,1.13,2,0.325
EQUIP_0383,fuse_cutout,23,3,2090,1.24,2,0.633
EQUIP_0384,insulator,15,1,1336,1.44,2,0.471
EQUIP_0385,insulator,16,1,1539,1.26,1,0.483
EQUIP_0386,circuit_breaker,11,2,8411,2.44,11,0.808
EQUIP_0387,circuit_breaker,12,5,7242,3.08,11,0.81
EQUIP_0388,insulator,16,4,1405,1.18,1,0.518
EQUIP_0389,capacitor_bank,20,8,4110,1.7,4,0.748
EQUIP_0390,electric_pole,7,1,2678,1.39,5,0.376
EQUIP_0391,electric_pole,11,3,2800,1.15,6,0.444
EQUIP_0392,switchgear,11,1,4981,2.13,10,0.712
EQUIP_0393,circuit_breaker,3,1,5746,2.22,13,0.542
EQUIP_0394,switchgear,4,1,4582,2.28,8,0.531
EQUIP_0395,insulator,11,2,1072,1.52,1,0.414
EQUIP_0396,capacitor_bank,4,0,3749,1.51,4,0.411
EQUIP_0397,circuit_breaker,4,0,7704,2.61,12,0.598
EQUIP_0398,capacitor_bank,10,2,3247,2.01,4,0.499
EQUIP_0399,fuse_cutout,8,1,1704,1.26,3,0.349
EQUIP_0400,capacitor_bank,25,9,3962,1.94,4,0.791
EQUIP_0401,transformer,5,0,8248,3.41,16,0.738
EQUIP_0402,circuit_breaker,11,2,7009,3.06,10,0.697
EQUIP_0403,insulator,12,1,1442,1.51,2,0.48
EQUIP_0404,fuse_cutout,4,3,1459,1.05,3,0.3
EQUIP_0405,circuit_breaker,8,0,7066,3.03,11,0.649
EQUIP_0406,switchgear,2,0,5617,2.26,12,0.47
EQUIP_0407,capacitor_bank,12,2,3480,1.72,4,0.512
EQUIP_0408,insulator,17,3,1398,1.38,2,0.528
EQUIP_0409,fuse_cutout,1,0,1431,1.26,2,0.273
EQUIP_0410,switchgear,26,4,7605,2.98,11,0.987
EQUIP_0411,fuse_cutout,13,5,1534,1.51,3,0.476
EQUIP_0412,circuit_breaker,7,1,6756,2.96,10,0.625
EQUIP_0413,electric_pole,6,1,1839,1.31,5,0.338
EQUIP_0414,switchgear,14,0,5175,2.57,7,0.797
EQUIP_0415,capacitor_bank,5,1,3685,2.01,4,0.313
EQUIP_0416,fuse_cutout,25,5,2054,1.45,2,0.66
EQUIP_0417,switchgear,13,2,6836,2.24,8,0.651
EQUIP_0418,transformer,8,4,9421,3.23,15,0.76
EQUIP_0419,insulator,10,4,1144,1.13,1,0.421
EQUIP_0420,fuse_cutout,10,2,1980,1.04,2,0.376
EQUIP_0421,capacitor_bank,7,0,3514,1.97,5,0.464
EQUIP_0422,capacitor_bank,2,0,3392,1.25,5,0.38
EQUIP_0423,capacitor_bank,8,1,3809,1.34,3,0.381
EQUIP_0424,transformer,3,1,9427,3.09,17,0.668
EQUIP_0425,transformer,20,2,11630,3.69,13,0.993
EQUIP_0426,switchgear,21,4,7711,2.34,11,0.838
EQUIP_0427,circuit_breaker,11,3,7954,2.66,10,0.677
EQUIP_0428,capacitor_bank,6,0,3630,1.26,4,0.368
EQUIP_0429,electric_pole,12,5,2087,1.56,6,0.367
EQUIP_0430,capacitor_bank,5,2,3473,1.64,3,0.312
EQUIP_0431,switchgear,9,1,5793,1.96,8,0.588
EQUIP_0432,capacitor_bank,12,5,3027,1.91,3,0.453
EQUIP_0433,circuit_breaker,8,2,6311,3.03,11,0.65
EQUIP_0434,fuse_cutout,9,0,1598,0.93,2,0.409
